SAT,GPA,Projects,Community,Income,Perf,Pred
1030,2.43,3,10,54600,Low,Low
1300,2.87,1,0,40300,Medium,Medium
1370,2.52,1,5,48200,Low,Low
1180,2.97,2,0,46200,Medium,Medium
1190,2.69,0,5,53600,Medium,Medium
1120,3.45,0,5,55600,Low,Low
1170,2.96,2,10,47800,Low,Low
1310,2.52,1,10,49000,Medium,Medium
1070,2.81,0,0,41800,Low,Low
1290,2.77,0,5,38800,Medium,Medium
1130,2.53,0,10,58600,Low,Low
1200,2.43,1,5,48700,Low,Low
1420,3.04,0,5,46600,High,High
1150,2.78,0,0,57500,Medium,Medium
1110,2.83,1,0,45000,Low,Low
1180,3.17,2,10,39900,High,High
1200,2.94,2,0,36900,Medium,Medium
1200,2.78,2,5,61900,Low,Low
1060,2.31,0,5,59500,Medium,Medium
1280,2.18,4,0,40500,Medium,Medium
1260,3.38,1,0,48400,Medium,Medium
1260,2.92,0,5,40300,Medium,Medium
1160,2.28,1,0,43700,Low,Low
1380,3.1,0,5,65500,Medium,Medium
1090,3.14,1,20,38500,Medium,Medium
1040,2.97,2,5,47600,Medium,High
1060,2.91,0,0,60700,Medium,Medium
1030,3.04,0,0,47800,Medium,Medium
1190,2.85,0,0,37600,High,High
1140,2.57,2,10,51800,Medium,Low
1400,3.17,1,5,43000,Low,Low
1030,2.85,1,20,57000,Low,Low
1150,3,2,0,37200,Medium,Medium
1120,2.3,0,15,53800,Low,Low
1280,2.68,0,5,32400,Low,Low
1130,2.42,0,10,31800,Low,Low
1160,2.86,2,10,39900,Medium,Medium
1240,2.89,0,0,59100,Medium,Medium
1010,2.7,2,10,56200,Low,Low
1170,2.73,1,5,49000,Medium,Medium
1180,2.76,0,10,49300,Medium,High
1180,2.65,1,10,65400,Low,Low
1190,3.08,1,5,39100,Medium,Medium
1150,2.78,0,15,44700,Medium,Medium
1170,2.76,2,15,45000,High,High
1120,2.97,1,5,45200,High,Low
1220,2.67,1,0,39200,Medium,Medium
1220,2.35,0,0,36000,Low,Low
1160,2.74,1,10,25800,Low,Medium
1040,2.87,4,0,55200,High,High
1150,2.57,2,0,66700,Medium,Medium
1200,2.4,0,10,35500,Low,Low
1060,3.09,1,10,41800,Medium,Low
1080,3.27,1,5,42000,Low,Low
1230,2.71,1,20,47600,Medium,Medium
1160,3.16,2,0,59500,Medium,Medium
1400,2.89,1,5,31900,High,Low
1160,2.71,2,0,46900,High,High
1180,2.9,0,5,55000,Low,Low
1190,2.77,1,10,36600,Medium,Medium
1160,2.54,1,5,51600,Low,Low
1290,2.46,0,0,63200,Low,Low
1190,2.64,0,5,24000,Medium,Medium
1260,3.28,1,0,49900,Medium,Medium
1210,3.04,0,10,72400,Medium,High
1310,2.39,2,5,55700,Low,Low
1350,2.71,1,20,42500,Medium,Medium
1080,2.95,0,15,35700,Medium,Medium
1270,3.08,0,10,26800,Low,Low
1140,2.6,0,0,61000,Medium,Medium
1220,2.82,1,5,63800,Medium,Low
1240,2.68,0,10,67700,Low,Low
1230,3.05,1,20,29400,Medium,Low
1210,2.81,0,5,45800,Medium,Medium
1320,2.91,0,0,54700,Low,Low
1050,2.65,3,5,37300,Medium,Medium
1300,2.86,2,5,63400,Medium,Medium
1310,2.66,0,5,43300,Low,Low
1090,3.08,3,5,53300,High,High
1130,2.95,0,0,48200,High,High
1330,2.62,0,0,34800,Low,Low
1210,3.04,1,10,44100,Low,Low
1180,2.39,1,0,44200,Low,Low
1200,2.87,2,5,41300,Low,Low
1020,2.53,0,5,24300,High,High
1250,2.6,3,0,61200,Medium,Low
1250,3.13,1,15,59100,Medium,Medium
1140,2.79,2,5,53900,Low,High
1160,2.54,1,10,46900,Medium,Medium
1110,3.27,0,10,47200,Medium,Medium
1280,2.85,0,0,36700,Medium,Medium
1190,2.29,0,10,46800,High,High
1240,2.55,2,10,44000,Medium,High
1180,2.52,1,10,41500,Medium,Medium
1140,2.59,1,5,38600,Medium,Medium
1290,3.16,2,5,33000,Medium,Medium
1120,2.85,4,0,53700,High,High
1000,3.05,2,0,35100,Medium,Medium
1180,2.71,0,5,46800,Low,Low
1130,2.75,0,0,46400,Low,Low
1260,2.83,4,10,61100,High,High
1170,2.76,1,0,48100,Medium,Medium
1070,2.77,1,5,38200,Medium,Low
1330,2.72,0,0,36100,Low,Low
1260,2.79,0,20,50000,Medium,Medium
1260,2.74,1,5,59500,Medium,High
1080,2.01,4,0,41100,Medium,Medium
1150,2.45,0,0,60900,Medium,Medium
1380,3.22,1,0,29400,Medium,High
1130,2.73,3,0,59500,Low,Low
890,2.19,0,0,46000,Low,Low
1270,2.18,2,0,42400,Low,Low
980,2.32,0,0,40100,High,Medium
1350,3.3,1,5,49900,Low,Low
1140,2.53,1,5,52900,Low,Low
1070,2.04,2,5,43900,Low,Low
1150,2.54,2,10,28700,Low,Low
1130,2.76,0,5,37400,Medium,Medium
970,2.72,1,0,43100,Low,Low
1140,3.18,0,5,31500,Medium,Medium
1260,2.72,4,0,42300,High,High
1050,3.25,0,10,45500,Medium,Medium
1260,3,0,5,49500,Medium,Medium
1240,3.11,0,0,26700,Low,Low
1170,2.77,0,5,41800,Medium,Medium
1090,2.32,0,0,68800,Medium,Medium
1160,2.16,1,15,48900,Low,Low
1230,3.07,2,5,49400,High,High
1170,2.67,0,0,47400,Medium,Medium
1270,3.24,1,5,54700,Medium,Medium
1000,2.78,2,0,47100,Low,Medium
1180,2.5,1,5,48800,Low,Low
1130,2.89,1,5,57400,Medium,Medium
1260,2.39,2,5,43200,Medium,Medium
1240,2.22,1,20,35600,Low,Low
1000,2.73,0,10,50900,Medium,Medium
1030,2.66,0,5,63600,Medium,Medium
1200,2.35,0,5,56700,Medium,Medium
1240,2.25,0,5,39500,Low,Low
1270,2.59,4,5,44000,High,Medium
1280,2.68,0,5,52900,Low,Low
1210,2.54,2,0,37900,Low,Low
1110,2.72,3,0,37100,Medium,Medium
1260,2.75,0,5,45100,Low,Low
1330,2.58,1,5,53200,Low,Low
1340,2.81,4,0,55000,High,High
1080,2.59,2,0,41000,Medium,Medium
1180,2.7,2,10,51800,Medium,High
1110,2.63,1,5,55000,Low,Low
1340,2.71,0,5,33700,High,High
1160,2.9,0,15,36600,Medium,High
1170,2.8,0,5,44700,Medium,Medium
1080,3.33,4,0,57300,High,High
1310,2.95,0,0,49000,Low,Low
1090,2.74,0,10,48100,Medium,Medium
1310,2.65,0,0,53500,Medium,Medium
1250,2.51,1,10,46300,Low,Medium
1360,2.78,0,5,33700,Medium,Medium
1190,2.65,1,10,29700,Medium,Medium
1180,2.79,0,0,53700,Medium,Medium
1110,2.31,1,20,58800,High,High
1130,3,0,10,42100,Medium,Medium
1220,3.19,1,10,32800,Medium,Medium
1120,2.81,0,0,47200,Low,Medium
1180,2.48,2,0,53500,Medium,Medium
1240,2.35,3,10,55600,Medium,Medium
1310,2.72,2,10,49000,Low,Low
1240,2.88,2,5,40100,Medium,Medium
1310,3.08,0,10,32500,Medium,Medium
1120,2.14,3,20,40900,Low,Low
1200,2.43,0,5,60300,High,High
1150,2.4,0,0,24000,Low,Low
1140,2.64,1,20,33600,Low,Low
1120,2.34,1,5,41900,Low,Low
1090,2.55,2,0,57600,Medium,Medium
1140,2.42,3,5,24100,High,High
1180,2.6,0,5,44700,High,High
960,3.06,0,0,49700,Low,Low
1080,3.46,0,0,37100,Medium,Low
1230,2.37,0,5,36300,Low,Low
990,2.58,0,10,53300,Medium,Medium
1130,2.48,0,0,49200,Low,Medium
1360,2.91,1,5,53500,Low,Low
1160,2.69,0,5,50500,Low,Low
1080,2.5,0,10,61300,High,High
1300,2.62,0,5,49900,Low,Low
1170,1.99,0,10,37000,Medium,Medium
1450,2.98,3,0,45000,High,High
1210,2.94,2,15,12200,Medium,Medium
1230,2.82,0,0,51000,Medium,Medium
1250,2.91,2,0,53200,Medium,Medium
1170,2.44,0,5,40000,Medium,Medium
1050,2.69,1,10,61500,Medium,Medium
1260,2.67,0,0,50500,Medium,Medium
1130,3,1,0,51500,Low,Low
1080,2.55,2,0,32300,Low,Low
1110,2.74,2,5,48200,Medium,Medium
1160,2.8,3,10,40700,Medium,Medium
1320,2.87,2,0,52100,Low,Low
1350,2.91,0,0,55000,Medium,Medium
1170,2.62,2,10,49800,Medium,Medium
1040,2.82,1,5,49700,Medium,Medium
1280,2.84,0,15,43500,Low,Low
1230,3.06,0,0,55000,Medium,Medium
1180,2.61,0,0,38500,Low,Low
1140,2.79,2,0,40300,Medium,Medium
1210,2.2,0,0,58400,High,High
1230,2.59,0,5,42200,Medium,Medium
1020,2.59,0,0,51200,Medium,Medium
1230,2.84,0,5,38900,Low,Low
1170,2.22,2,0,40300,Low,Low
1310,2.37,1,5,42400,High,High
1250,2.29,2,0,43000,Low,Low
1150,3.16,0,0,47300,Medium,Medium
1200,2.4,0,10,61100,Low,Medium
1250,3.04,0,5,51900,Medium,Medium
1310,2.64,0,10,61800,Medium,Medium
1200,2.61,1,0,50700,Medium,Medium
1170,2.93,1,0,43900,High,High
1340,2.59,0,10,45400,Medium,High
1250,3.01,0,10,62300,Low,Low
1050,2.62,1,10,50100,Medium,Medium
1220,3.15,1,0,36700,Medium,Medium
1100,2.55,3,0,64100,Medium,Medium
980,3.29,2,0,41500,Low,Low
1030,2.68,2,0,33500,High,High
1170,2.67,0,5,49700,High,High
1310,2.95,0,15,50400,High,High
1420,2.56,0,10,40900,High,High
1240,3.03,0,5,29200,Medium,Medium
1220,2.21,0,15,58600,Medium,Medium
1080,2.84,1,5,42000,Medium,Medium
990,3.08,1,0,53500,Low,Low
1080,2.96,0,10,50600,Medium,Medium
1150,3.08,0,15,46300,Medium,Medium
1000,2.85,0,10,46200,Medium,Medium
1300,2.48,0,5,38300,Low,Low
1200,2.62,0,10,59600,Medium,Medium
1290,3.26,0,5,55700,Medium,Medium
960,2.97,0,0,57300,Medium,Medium
1250,2.45,0,0,44200,Medium,Medium
1180,2.67,1,0,35100,High,High
1350,2.5,3,10,39500,Medium,Medium
1180,2.68,2,15,46800,Medium,Medium
1210,3.42,0,5,35500,Medium,Medium
1190,3.65,1,5,49300,Medium,Medium
1120,2.41,1,10,52100,Medium,High
1220,2.79,0,0,51500,Low,Low
1010,2.7,2,5,54600,Medium,Medium
1330,2.06,0,0,37800,Low,Low
1110,2.2,1,0,67800,Medium,Medium
1060,2.13,1,5,56500,Low,Low
1480,2.69,1,0,45500,High,High
1280,2.27,1,0,56300,Low,Low
1080,2.68,0,0,28200,Medium,Medium
1230,3.02,1,5,59200,Medium,Medium
1170,1.99,1,10,37700,Low,Low
1130,2.46,3,5,43500,Medium,Medium
1280,1.91,2,5,62300,Medium,Low
1150,2.77,0,15,42200,Medium,Medium
1230,2.69,0,10,61900,Medium,Medium
1060,2.6,0,0,40800,Medium,Low
990,2.77,3,15,55000,Medium,Medium
1090,3.11,3,10,26900,High,High
1250,2.63,0,0,35800,Medium,Medium
1110,2.43,2,5,49000,High,High
1310,2.57,2,10,57700,Medium,Medium
1090,2.73,0,5,44800,Medium,Medium
1150,2.28,1,15,39100,Low,Low
1210,2.58,1,15,27300,Medium,Low
1070,2.92,2,0,48100,High,High
1350,2.93,4,0,37900,High,High
1310,2.82,2,0,30700,Low,Low
1120,2.62,2,0,40300,Medium,Medium
1220,2.55,1,5,47600,Medium,Medium
1150,3.17,0,5,48400,High,High
1090,2.85,0,5,49200,Medium,High
1200,3.27,0,5,46000,Medium,Medium
1080,2.68,1,10,45000,Low,Low
1210,2.96,3,0,58000,High,High
980,2.48,0,5,62400,Low,High
1260,2.63,1,0,35200,Medium,Medium
1070,2.63,0,0,45000,Low,Low
1340,3.2,1,15,40900,Medium,Medium
1100,3.06,4,10,52500,High,High
1170,2.47,0,15,81700,Medium,Medium
1140,2.45,1,15,43400,Medium,High
1310,2.54,0,10,39900,Medium,Medium
1110,2.86,0,5,40600,Low,Low
1360,2.88,2,10,50300,High,High
1230,3.15,0,10,46000,Low,Low
1170,3.14,2,0,57100,Medium,Medium
1260,2.49,1,5,48100,Low,Low
1090,2.83,0,5,34000,Medium,Medium
1230,2.82,0,5,44800,Medium,Medium
1210,2.63,3,5,39400,Low,Low
1300,2.71,0,5,72300,Low,Low
1170,2.07,1,5,30400,Medium,Medium
1060,2.59,0,0,60800,Low,Low
1350,2.64,1,0,50500,Medium,Medium
1370,2.65,3,0,45800,Low,Low
1160,2.68,2,0,42100,High,Medium
1060,2.76,1,10,40500,Low,Low
1370,2.96,2,5,33400,Medium,Medium
1300,2.33,1,0,48700,Medium,Medium
1380,2.53,0,5,68200,Medium,Medium
1260,2.18,1,5,44100,High,Low
1210,2.69,1,5,33000,Medium,Medium
1100,3.06,2,5,42600,Medium,Medium
1230,2.73,0,0,51400,Medium,Medium
1280,2.48,0,5,52500,Low,Low
1080,3.49,1,0,51300,High,Low
1140,2.47,0,0,43200,Low,Low
1070,3.16,3,5,54600,High,High
1290,2.39,0,5,32300,Low,Low
1210,3.2,2,0,35900,Medium,Low
1010,2.86,3,5,61800,Low,High
1070,2.58,0,10,54200,Medium,Medium
1200,2.86,1,10,46500,Medium,Medium
1350,2.61,1,20,43100,Medium,Medium
1080,2.94,1,0,55500,Medium,Low
1040,2.77,1,5,45000,Low,Low
1250,2.71,1,5,57200,Low,Low
1010,2.44,1,10,49100,Low,Low
1150,2.34,0,5,39900,Low,Low
1280,2.73,2,0,46600,Medium,Low
1310,2.51,2,15,27500,Medium,Medium
1200,2.58,0,5,45900,Medium,Medium
1180,2.82,0,0,30900,Low,Low
1070,2.59,1,5,29500,Medium,High
1080,2.65,0,5,56700,Low,Low
1160,2.39,2,0,56400,Medium,Medium
1210,3,2,10,36000,Low,Low
1280,3.1,2,0,44300,Low,Low
1180,2.41,0,0,43800,Medium,Medium
1120,3.08,0,15,46000,Medium,Medium
1160,3.11,3,10,46700,High,High
1150,2.81,0,10,27000,Medium,Medium
1330,2.65,1,5,56400,Medium,Medium
1270,2.85,1,10,40300,High,High
1240,2.99,0,10,63600,High,High
1350,2.64,0,5,51500,Low,Low
1100,2.53,4,5,45200,High,High
1260,2.54,2,0,51800,Low,Low
1200,2.93,2,5,48500,Medium,Medium
1110,3.42,0,10,59600,Low,Low
1130,3.02,1,0,65500,Low,Low
1250,3.03,3,0,44500,High,Low
1230,2.86,0,5,41900,High,High
1280,2.42,0,15,52700,Low,Low
1200,3.11,0,10,71000,Medium,High
1200,2.55,1,5,52600,Medium,Medium
1120,3.22,2,10,48100,Medium,High
1070,2.29,2,5,51900,Medium,Medium
1290,3.4,0,0,46000,Medium,Medium
1190,2.68,2,10,49600,High,High
1170,3.08,1,5,34900,Medium,Medium
1300,3.02,1,10,43600,Medium,Medium
1350,3.2,1,0,34500,Medium,Medium
1120,2.66,1,15,43800,Medium,Low
1100,2.03,0,0,49300,Low,Low
1200,2.8,3,5,75200,Medium,Low
1340,2.11,4,5,49300,Medium,Medium
1320,2.76,2,10,41600,Medium,Medium
1350,2.62,1,5,46500,Low,Low
1090,2.12,1,5,54600,Low,Low
1300,3.03,4,15,50500,High,High
1360,2.72,0,0,44400,Medium,Medium
1230,2.23,1,0,56800,Low,Low
1010,2.73,2,0,47500,Medium,Medium
1110,2.43,2,0,49900,Medium,Medium
1110,2.44,0,5,70100,High,High
1200,3.08,0,10,30900,Medium,Medium
1190,2.84,1,0,56800,Medium,High
1150,3.03,3,5,54500,High,High
1010,3.12,2,5,50600,Medium,Medium
1000,3.23,1,0,49400,Medium,Medium
1200,2.73,1,0,48900,Low,Low
1230,3.32,0,0,67800,Medium,Medium
1170,2.61,1,15,54200,Medium,Medium
1290,3.29,0,5,36200,Medium,Medium
1300,2.84,1,5,41900,Low,Low
1260,2.69,1,0,52100,Low,Medium
1230,2.86,0,10,70800,Low,Low
1170,2.9,0,15,55800,Low,Low
1080,2.51,0,5,55000,Medium,Medium
1190,3.17,1,5,47200,High,High
1350,2.96,2,20,49400,Low,Low
1210,2.83,0,15,41600,Medium,Medium
1310,2.91,4,0,48200,High,High
1280,3,0,0,46600,Medium,Medium
1000,2.92,1,5,55100,High,Low
1140,2.91,1,5,45400,Low,Low
1230,2.34,3,15,53100,High,Low
1190,2.96,4,5,65400,High,High
1210,2.51,2,0,31700,Medium,Medium
990,2.52,1,15,55400,Low,Low
1220,2.6,3,0,57900,Medium,Medium
1130,2.69,1,5,31200,Medium,Medium
1030,2.62,0,0,35900,Medium,Medium
1150,2.66,0,10,37000,Medium,Medium
1110,2.91,2,20,33400,Medium,High
1150,2.57,0,0,43000,Medium,Medium
1040,2.75,2,10,54300,Low,High
1010,2.99,0,10,41800,Medium,Medium
1120,2.66,1,10,44500,Medium,Low
1250,3,1,5,37800,Low,Low
1120,2.92,0,5,45300,Medium,Low
1360,2.95,0,20,29300,Medium,Medium
1160,3.19,1,10,43900,Medium,Medium
1200,2.4,3,15,53500,Low,Low
1040,2.24,1,0,47300,Medium,Medium
1100,3.74,2,0,52100,High,Low
1380,3.01,0,0,60200,Medium,Medium
1190,2.63,2,0,55400,Medium,Medium
1150,2.75,2,5,64300,Low,Medium
1350,2.5,1,10,44500,Medium,Medium
940,2.81,2,10,46200,Low,Low
1410,2.89,1,10,64700,High,High
1280,2.43,0,5,62000,Low,Low
1260,2.86,2,15,22100,Medium,Medium
1230,2.64,2,5,53800,Medium,Medium
1400,2.67,0,5,41100,Medium,Medium
960,2.97,3,5,51200,Low,Low
1230,2.72,0,0,61400,Low,Low
1200,2.94,1,0,47100,High,High
1260,2.43,1,0,45400,Low,High
1210,2.98,2,0,53400,Medium,Medium
990,2.06,2,20,43800,Low,Low
1160,2.65,0,0,67000,Low,Low
1120,2.55,1,15,59500,Low,Low
1180,2.92,1,5,28900,Medium,Medium
1140,2.75,1,0,48300,Medium,High
1340,2.92,0,0,50200,Low,Low
1110,2.92,0,15,43500,Medium,Medium
1280,2.35,1,5,56000,High,High
1080,2.77,0,5,44800,Medium,Medium
1210,3.24,0,5,48700,Medium,Medium
1220,2.74,0,0,43900,Medium,High
1220,3.14,0,10,35300,Medium,Medium
1140,2.98,2,10,65200,Medium,Medium
1250,2.82,2,0,39900,Medium,Medium
1260,3.05,0,0,52400,Medium,Medium
1140,2.76,3,0,50700,Low,Low
1230,2.7,2,0,42200,Medium,Medium
1250,3.12,0,20,54200,Medium,Medium
1200,2.56,0,0,52400,Medium,Medium
1390,2.54,0,0,49100,Medium,High
1070,2.73,0,0,52300,Medium,Low
1260,2.7,1,0,61900,Medium,Medium
1270,2.92,2,0,47400,Low,Low
1030,2.72,0,5,49200,Medium,Medium
1270,2.82,0,5,44100,Medium,Medium
1050,2.44,2,5,49200,Medium,Medium
1040,3.06,2,5,57100,High,High
1290,2.7,0,5,36100,Medium,Medium
1240,3.04,2,5,59600,Medium,Low
1380,2.32,1,0,68900,Low,High
1400,2.98,0,0,43600,Medium,Medium
1200,2.9,1,5,51000,Medium,Medium
1290,2.76,1,0,48600,Low,Low
1170,2.03,2,0,42300,Medium,Medium
1490,2.52,1,0,53100,Medium,Medium
1190,2.51,3,20,50200,High,Medium
1380,2.99,0,10,51200,Medium,Medium
1290,2.82,1,0,48300,Medium,Medium
1390,2.68,1,0,56100,Low,Low
1120,2.56,3,0,66200,Medium,High
1250,2.65,0,0,34700,Medium,Medium
1050,2.99,1,0,44500,Medium,Medium
1380,3,2,0,44300,Medium,Medium
1210,2.3,1,0,59300,High,High
1240,2.77,0,0,27300,Low,Low
1150,2.63,2,20,46900,Medium,Medium
1160,2.94,4,0,32600,High,High
1210,2.45,0,0,54900,Low,High
880,2.52,2,10,43300,Low,Low
1100,2.55,1,5,33800,Low,High
1390,2.6,3,10,36100,Medium,Medium
1240,2.9,0,10,28500,Low,Low
1200,2.56,0,20,49300,Medium,Medium
1190,2.91,1,0,52300,Medium,Medium
1200,2.77,2,5,54000,Low,Low
1460,2.74,0,15,41000,Medium,Medium
1150,2.66,0,0,53400,Low,Low
1330,2.84,3,0,49600,Medium,Medium
1010,3,0,0,56500,Low,Low
1330,2.16,1,0,46300,Low,Low
1110,2.48,1,0,54100,Low,Low
1100,2.6,1,0,37200,Low,Low
1190,2.58,0,0,57200,Medium,Medium
1230,2.62,0,0,54300,Medium,Medium
1290,3.04,0,0,53400,Medium,Medium
1140,2.46,2,10,32500,Medium,Medium
1190,2.91,2,0,45000,Low,Low
1320,3.08,0,5,50600,High,High
1020,2.69,0,10,50300,Medium,Medium
920,2.32,3,0,50200,Low,Low
1070,2.67,2,10,49500,Medium,Low
1180,2.54,1,5,52200,Medium,High
1300,3.04,1,5,35400,Medium,Medium
1170,2.75,3,15,60000,Medium,Medium
1340,2.41,0,0,47600,High,High
1170,2.49,0,0,34600,Low,Low
1080,2.5,0,5,43500,Low,Low
1250,2.92,0,10,61700,Low,Medium
1170,2.71,1,5,55700,Low,Low
1350,2.6,1,0,39000,Medium,Medium
1110,2.83,2,5,38700,High,High
1230,2.69,1,5,64700,Medium,Medium
950,2.46,0,5,33000,Low,Low
1060,2.35,0,0,47300,High,Medium
1270,2.44,1,5,47000,High,High
1350,3.24,2,10,55600,High,High
1010,2.84,1,10,67200,Medium,Medium
1200,3.14,2,5,41800,Low,Low
1270,2.48,1,0,41900,Low,Low
1110,2.71,2,5,39600,Medium,High
1130,2.7,0,10,37900,High,High
1300,2.54,1,10,36200,Medium,Medium
1220,2.86,1,10,45900,Low,High
1290,2.6,1,5,47800,Low,Low
1130,2.59,4,10,53200,High,High
990,3.76,2,10,51800,Medium,High
1260,2.64,0,0,41600,Medium,Low
1350,3.24,1,0,39700,Low,Low
1270,2.88,0,0,35100,Low,Low
1290,2.37,0,10,61700,Low,Low
1180,2.62,1,0,36900,Low,Low
1180,2.81,2,5,30200,Medium,Medium
1270,2.9,1,0,45300,Low,Low
1190,2.48,2,10,38500,Medium,Medium
1170,2.97,1,20,40200,Medium,Low
1210,3.06,0,5,62500,Low,Low
1290,2.7,0,5,42900,High,High
1200,2.92,0,0,41300,Low,Low
1120,3.06,2,0,52700,Low,Low
1110,3.15,0,5,50900,Medium,Medium
1220,2.85,2,5,52200,Medium,Medium
1190,2.52,2,0,58700,Medium,Medium
1270,2.39,1,0,40800,Low,Low
1160,2.31,1,0,43000,Low,Low
1070,2.19,3,0,55200,Low,Low
1210,2.3,3,0,47200,Medium,Medium
1110,2.73,1,5,43800,Medium,Low
1270,2.69,2,10,49500,Medium,High
1290,2.8,0,0,39600,Low,High
1130,2.6,0,5,50900,Medium,Medium
1390,2.72,0,0,44200,Medium,Medium
1090,2.75,4,0,55800,High,Medium
1110,2.72,4,5,35200,High,High
1230,2.49,2,5,52400,Medium,Low
1120,2.37,1,5,45700,Low,Low
1140,2.82,0,0,66400,Medium,Medium
1260,2.77,1,5,52300,High,Low
1180,3.1,0,0,51700,Low,Low
1360,2.94,2,0,51400,Low,Low
1260,2.84,1,5,54500,Low,Low
1250,2.79,1,5,38400,Medium,Medium
1340,2.97,0,0,46100,Low,Low
1140,2.57,3,0,45500,High,Low
1160,2.47,0,0,43400,Medium,Low
1060,2.64,2,20,55100,Low,Low
1220,2.4,0,10,40200,Medium,High
1100,2.57,0,0,42100,Medium,Medium
1230,2.97,1,10,41800,Medium,Medium
1140,2.48,3,20,52500,High,High
1130,2.69,0,5,35400,Medium,Medium
1260,2.54,0,5,41300,Medium,Medium
1140,2.97,1,0,41000,Medium,Medium
1240,2.06,0,5,41500,Low,Low
1220,2.22,1,0,43600,Medium,High
1150,2.78,0,20,26900,Low,Low
1270,2.23,0,10,37800,Medium,Medium
1290,2.86,1,0,57500,Low,Low
1250,2.88,0,0,49200,Low,Low
1100,2.62,0,0,52500,Medium,Medium
1140,3.45,1,0,60100,Medium,Medium
1430,3.21,1,0,45000,High,High
1170,2.5,0,10,68300,Low,Low
1210,3.36,2,10,42700,Medium,Medium
1140,2.95,3,0,49200,Medium,Low
1310,2.42,1,5,36000,Low,Low
1050,2.68,2,0,63800,High,High
1300,2.56,2,0,53200,Medium,Low
1050,2.62,1,0,52300,Medium,Medium
1060,2.89,1,10,38300,Low,Low
1260,2.33,0,5,51800,Low,Medium
1280,3.19,0,0,42700,Medium,Medium
1060,2.81,0,5,47700,Medium,Medium
