NOX,DIS,RAD,TAX,PTRATIO,B,CLASS
0.605,2.0459,5,403,14.7,369.3,1
0.605,2.4259,5,403,14.7,227.61,1
0.605,2.1,5,403,14.7,297.09,1
0.605,2.4259,5,403,14.7,292.29,0
0.51,2.5961,5,296,16.6,396.9,1
0.51,2.6463,5,296,16.6,395.5,1
0.51,3.1323,5,296,16.6,390.96,1
0.51,3.5549,5,296,16.6,393.23,1
0.51,3.3175,5,296,16.6,395.6,1
0.51,2.9153,5,296,16.6,391.27,1
0.488,2.829,3,193,17.8,396.9,1
0.488,2.741,3,193,17.8,395.56,1
0.488,2.5979,3,193,17.8,396.9,1
0.488,2.7006,3,193,17.8,394.12,1
0.488,2.847,3,193,17.8,396.9,1
0.488,2.9879,3,193,17.8,391,1
0.488,3.2797,3,193,17.8,387.11,1
0.488,3.1992,3,193,17.8,392.63,1
0.437,3.7886,5,398,15.2,393.87,1
0.437,4.5667,5,398,15.2,382.84,1
0.437,4.5667,5,398,15.2,396.9,1
0.437,6.4798,5,398,15.2,377.68,1
0.437,6.4798,5,398,15.2,389.71,1
0.437,6.4798,5,398,15.2,390.49,1
0.401,6.2196,1,265,15.6,393.37,1
0.401,6.2196,1,265,15.6,376.7,1
0.422,5.6484,4,255,14.4,394.23,1
0.404,7.309,2,329,12.6,396.9,1
0.404,7.309,2,329,12.6,354.31,1
0.404,7.309,2,329,12.6,392.2,1
0.403,7.6534,3,402,17,396.9,1
0.403,7.6534,3,402,17,384.3,1
0.415,6.27,2,348,14.7,393.77,1
0.415,6.27,2,348,14.7,395.38,1
0.4161,5.118,4,224,14.7,392.78,1
0.4161,5.118,4,224,14.7,390.55,1
0.489,4.3549,4,277,18.6,394.87,1
0.489,4.2392,4,277,18.6,381.32,1
0.489,3.9454,4,277,18.6,385.81,1
0.489,3.5875,4,277,18.6,348.93,1
0.489,3.9454,4,277,18.6,393.63,1
0.55,3.1121,5,276,16.4,392.8,1
0.55,3.4211,5,276,16.4,392.78,1
0.507,2.8617,8,307,17.4,391.7,1
0.507,3.2721,8,307,17.4,390.39,1
0.507,3.2721,8,307,17.4,396.9,1
0.504,2.8944,8,307,17.4,385.05,1
0.504,2.8944,8,307,17.4,382,1
0.504,3.2157,8,307,17.4,387.38,1
0.504,3.2157,8,307,17.4,372.08,1
0.504,3.3751,8,307,17.4,377.51,1
0.504,3.3751,8,307,17.4,380.34,1
0.504,3.6715,8,307,17.4,378.35,1
0.504,3.6715,8,307,17.4,376.14,1
0.507,3.8384,8,307,17.4,385.91,1
0.507,3.6519,8,307,17.4,378.95,1
0.507,3.6519,8,307,17.4,360.2,1
0.507,3.6519,8,307,17.4,376.75,1
0.507,4.148,8,307,17.4,388.45,1
0.507,4.148,8,307,17.4,390.07,1
0.428,6.1899,6,300,16.6,379.41,1
0.428,6.1899,6,300,16.6,383.78,1
0.428,7.0355,6,300,16.6,374.71,1
0.431,7.9549,7,330,19.1,372.49,0
0.431,7.9549,7,330,19.1,389.13,0
0.431,8.0555,7,330,19.1,390.18,1
0.431,7.8265,7,330,19.1,374.71,1
0.431,7.8265,7,330,19.1,393.74,1
0.431,7.3967,7,330,19.1,396.28,1
0.431,7.3967,7,330,19.1,377.07,1
0.431,8.9067,7,330,19.1,386.09,1
0.431,8.9067,7,330,19.1,396.9,1
0.394,6.3361,3,244,15.9,386.34,1
0.647,1.801,5,264,13,389.7,1
0.647,1.8946,5,264,13,383.29,1
0.647,2.0107,5,264,13,391.93,1
0.647,2.1121,5,264,13,392.8,1
0.647,2.1398,5,264,13,388.37,1
0.647,2.2885,5,264,13,386.86,1
0.647,2.0788,5,264,13,393.42,1
0.647,1.9301,5,264,13,387.89,1
0.647,2.1329,5,264,13,384.07,1
0.575,2.4216,5,264,13,384.54,1
0.575,2.872,5,264,13,390.3,1
0.464,4.429,3,223,18.6,396.9,1
0.464,3.9175,3,223,18.6,394.96,1
0.464,4.3665,3,223,18.6,390.77,1
0.447,4.0776,4,254,17.6,396.9,1
0.447,4.2673,4,254,17.6,396.9,1
0.447,4.7872,4,254,17.6,389.25,1
0.447,4.8628,4,254,17.6,393.45,1
0.447,4.1403,4,254,17.6,396.9,1
0.4429,4.1007,5,216,14.9,396.9,1
0.4429,4.6947,5,216,14.9,387.31,1
0.4429,5.2447,5,216,14.9,392.23,1
0.4429,5.2119,5,216,14.9,377.07,1
0.401,5.885,1,198,13.6,395.52,1
0.4,7.3073,1,285,15.3,394.72,1
0.405,7.3172,6,293,16.6,396.9,1
0.405,7.3172,6,293,16.6,371.72,1
0.411,5.1167,4,245,19.2,396.9,1
0.411,5.1167,4,245,19.2,396.9,1
0.411,5.1167,4,245,19.2,396.9,1
0.437,5.5027,4,289,16,396.9,1
0.437,5.9604,4,289,16,396.9,1
0.437,5.9604,4,289,16,392.85,1
0.4,7.8278,5,358,14.8,371.58,1
0.4,7.8278,5,358,14.8,390.86,1
0.433,5.4917,7,329,16.1,383.61,1
0.433,5.4917,7,329,16.1,390.43,1
0.472,4.022,7,222,18.4,393.68,1
0.472,3.37,7,222,18.4,393.36,1
0.472,3.0992,7,222,18.4,396.9,1
0.472,3.1827,7,222,18.4,396.9,1
0.544,2.5194,4,304,18.4,350.45,0
0.544,3.6023,4,304,18.4,395.69,1
0.544,3.945,4,304,18.4,396.42,0
0.544,3.9986,4,304,18.4,390.7,0
0.544,3.5325,4,304,18.4,395.21,1
0.493,4.5404,5,287,19.6,396.9,1
0.493,4.5404,5,287,19.6,396.9,1
0.493,4.7211,5,287,19.6,391.13,0
0.493,4.7211,5,287,19.6,396.9,1
0.493,5.4159,5,287,19.6,393.68,1
0.4379,6.6407,1,304,16.9,394.02,0
0.515,5.615,5,224,20.2,394.81,0
0.515,4.8122,5,224,20.2,396.9,0
0.442,7.0379,1,284,15.5,394.74,1
0.518,6.2669,1,422,15.9,389.96,0
0.484,5.7321,5,370,17.6,396.9,1
0.484,6.4654,5,370,17.6,387.97,1
0.442,8.0136,3,352,18.8,385.64,0
0.442,8.0136,3,352,18.8,364.61,0
0.429,8.5353,4,351,17.9,392.43,1
0.435,8.344,4,280,17,390.94,1
0.429,8.7921,1,335,19.7,389.85,1
0.411,10.7103,4,411,18.3,370.78,1
0.411,10.7103,4,411,18.3,392.33,0
0.41,12.1265,5,187,17,384.46,1
0.413,10.5857,4,334,22,382.8,0
0.77,2.1222,24,666,20.2,377.73,0
0.77,2.5182,24,666,20.2,374.56,1
0.77,1.9047,24,666,20.2,353.04,0
0.718,1.6132,24,666,20.2,354.7,1
0.631,1.5106,24,666,20.2,131.42,1
0.631,1.3325,24,666,20.2,375.52,1
0.631,1.3567,24,666,20.2,375.33,1
0.631,1.2024,24,666,20.2,392.05,1
0.631,1.1691,24,666,20.2,366.15,1
0.668,1.1296,24,666,20.2,347.88,1
0.668,1.1742,24,666,20.2,396.9,0
0.668,1.137,24,666,20.2,396.9,0
0.671,1.3163,24,666,20.2,396.9,0
0.671,1.3449,24,666,20.2,363.02,0
0.671,1.358,24,666,20.2,396.9,0
0.671,1.3861,24,666,20.2,396.9,0
0.671,1.3861,24,666,20.2,393.74,0
0.671,1.4165,24,666,20.2,396.9,0
0.671,1.5192,24,666,20.2,396.9,0
0.7,1.5804,24,666,20.2,396.9,0
0.7,1.5331,24,666,20.2,396.9,0
0.7,1.4395,24,666,20.2,285.83,0
0.7,1.4261,24,666,20.2,396.9,0
0.7,1.4672,24,666,20.2,396.9,0
0.7,1.5184,24,666,20.2,396.9,0
0.7,1.5895,24,666,20.2,372.92,0
0.7,1.7281,24,666,20.2,396.9,0
0.7,1.9265,24,666,20.2,394.43,0
0.7,2.1678,24,666,20.2,378.38,1
0.7,1.77,24,666,20.2,396.9,0
0.693,1.7912,24,666,20.2,396.9,0
0.693,1.7821,24,666,20.2,396.9,0
0.693,1.7257,24,666,20.2,391.98,0
0.693,1.6768,24,666,20.2,396.9,0
0.693,1.6334,24,666,20.2,393.1,0
0.693,1.4896,24,666,20.2,396.9,0
0.693,1.5004,24,666,20.2,338.16,0
0.693,1.5888,24,666,20.2,396.9,0
0.693,1.5741,24,666,20.2,396.9,0
0.693,1.639,24,666,20.2,376.11,0
0.693,1.7028,24,666,20.2,396.9,0
0.693,1.6074,24,666,20.2,329.46,0
0.693,1.4254,24,666,20.2,384.97,0
0.659,1.1781,24,666,20.2,370.22,0
0.659,1.2852,24,666,20.2,332.09,1
0.597,1.4547,24,666,20.2,314.64,0
0.597,1.4655,24,666,20.2,179.36,1
0.597,1.413,24,666,20.2,2.6,0
0.597,1.5275,24,666,20.2,35.05,0
0.597,1.5539,24,666,20.2,28.79,0
0.597,1.5894,24,666,20.2,210.97,0
0.693,1.6582,24,666,20.2,88.27,0
0.679,1.8347,24,666,20.2,27.25,0
0.679,1.8195,24,666,20.2,21.57,0
0.679,1.6475,24,666,20.2,127.36,0
0.679,1.8026,24,666,20.2,16.45,0
0.718,1.794,24,666,20.2,48.45,0
0.718,1.8589,24,666,20.2,318.75,0
0.718,1.8746,24,666,20.2,319.98,0
0.614,2.0218,24,666,20.2,2.52,0
0.584,2.0635,24,666,20.2,3.65,0
0.679,1.9096,24,666,20.2,7.68,0
0.584,1.9976,24,666,20.2,24.65,0
0.679,1.8629,24,666,20.2,18.82,0
0.679,1.9356,24,666,20.2,96.73,0
0.679,1.9682,24,666,20.2,60.72,0
0.584,2.0527,24,666,20.2,83.45,0
0.584,2.0882,24,666,20.2,81.33,0
0.584,2.2004,24,666,20.2,97.95,0
0.713,2.3158,24,666,20.2,100.19,0
0.713,2.2222,24,666,20.2,100.63,0
0.74,2.1247,24,666,20.2,109.85,0
0.74,2.0026,24,666,20.2,27.49,0
0.74,1.9142,24,666,20.2,9.32,0
0.74,1.8206,24,666,20.2,68.95,0
0.74,1.8172,24,666,20.2,396.9,0
0.74,1.8662,24,666,20.2,391.45,0
0.74,2.0651,24,666,20.2,385.96,0
0.74,2.0048,24,666,20.2,395.69,0
0.74,1.9784,24,666,20.2,386.73,0
0.74,1.8956,24,666,20.2,240.52,0
0.74,1.9879,24,666,20.2,43.06,0
0.74,2.072,24,666,20.2,318.01,0
0.74,2.198,24,666,20.2,388.52,0
0.713,2.2616,24,666,20.2,396.9,0
0.713,2.185,24,666,20.2,304.21,0
0.713,2.3236,24,666,20.2,0.32,0
0.713,2.3552,24,666,20.2,355.29,0
0.713,2.3682,24,666,20.2,385.09,0
0.713,2.4527,24,666,20.2,375.87,0
0.713,2.4961,24,666,20.2,6.68,0
0.713,2.4358,24,666,20.2,50.92,0
0.713,2.5806,24,666,20.2,10.48,0
0.713,2.7792,24,666,20.2,3.5,0
0.713,2.7831,24,666,20.2,272.21,0
0.713,2.5975,24,666,20.2,255.23,0
0.713,2.5671,24,666,20.2,391.43,0
0.58,2.8965,24,666,20.2,393.37,1
0.614,2.5329,24,666,20.2,374.68,1
0.584,2.4298,24,666,20.2,352.58,0
0.584,2.206,24,666,20.2,302.76,0
0.614,2.3053,24,666,20.2,396.21,0
0.614,2.1007,24,666,20.2,349.48,0
0.614,2.1705,24,666,20.2,379.7,0
0.532,3.3317,24,666,20.2,393.07,1
0.532,3.4106,24,666,20.2,395.28,1
0.609,1.8209,4,711,20.1,395.09,0
0.609,1.7554,4,711,20.1,344.05,0
0.609,1.8226,4,711,20.1,318.43,0
0.609,1.8681,4,711,20.1,390.11,0
0.585,2.3817,6,391,19.2,396.9,1
0.585,2.7986,6,391,19.2,393.29,1
0.585,2.8927,6,391,19.2,396.9,0
0.585,2.3999,6,391,19.2,395.77,0
0.585,2.4982,6,391,19.2,396.9,0
0.573,2.1675,1,273,21,396.9,1
0.573,2.505,1,273,21,396.9,0
