Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,Avgwg
7927,STANDARD,CEDAR KNOLLS,NJ,PRIMARY,40.82,-74.45,NA-US-NJ-CEDAR KNOLLS,FALSE,1870,3204,130383155,69723.6123
7928,STANDARD,CHATHAM,NJ,PRIMARY,40.74,-74.38,NA-US-NJ-CHATHAM,FALSE,8986,16921,1455831708,162011.0959
7930,STANDARD,CHESTER,NJ,PRIMARY,40.78,-74.69,NA-US-NJ-CHESTER,FALSE,3970,7622,523506801,131865.6929
7010,STANDARD,CLIFFSIDE PARK,NJ,PRIMARY,40.82,-73.98,NA-US-NJ-CLIFFSIDE PARK,FALSE,10984,18008,531584426,48396.25146
7011,STANDARD,CLIFTON,NJ,PRIMARY,40.86,-74.15,NA-US-NJ-CLIFTON,FALSE,18892,32734,621988665,32923.389
7012,STANDARD,CLIFTON,NJ,PRIMARY,40.86,-74.15,NA-US-NJ-CLIFTON,FALSE,6467,10729,335623186,51897.81754
7013,STANDARD,CLIFTON,NJ,PRIMARY,40.86,-74.15,NA-US-NJ-CLIFTON,FALSE,14153,23975,704167193,49753.9174
7014,STANDARD,CLIFTON,NJ,PRIMARY,40.86,-74.15,NA-US-NJ-CLIFTON,FALSE,2741,4646,156185260,56981.12368
7015,PO BOX,CLIFTON,NJ,PRIMARY,40.86,-74.15,NA-US-NJ-CLIFTON,FALSE,441,740,13340153,30249.78005
8809,STANDARD,CLINTON,NJ,PRIMARY,40.63,-74.91,NA-US-NJ-CLINTON,FALSE,2682,4772,203866692,76012.93512
7624,STANDARD,CLOSTER,NJ,PRIMARY,40.97,-73.96,NA-US-NJ-CLOSTER,FALSE,3963,7464,357487509,90206.28539
7832,STANDARD,COLUMBIA,NJ,PRIMARY,40.95,-75.06,NA-US-NJ-COLUMBIA,FALSE,1779,3322,89148204,50111.41315
7016,STANDARD,CRANFORD,NJ,PRIMARY,40.65,-74.3,NA-US-NJ-CRANFORD,FALSE,11321,20361,827220687,73069.57751
7626,STANDARD,CRESSKILL,NJ,PRIMARY,40.93,-73.95,NA-US-NJ-CRESSKILL,FALSE,3969,7423,368206781,92770.66793
8810,STANDARD,DAYTON,NJ,PRIMARY,40.38,-74.51,NA-US-NJ-DAYTON,FALSE,3790,7524,284460518,75055.54565
7627,STANDARD,DEMAREST,NJ,PRIMARY,40.95,-73.95,NA-US-NJ-DEMAREST,FALSE,2374,4545,287993395,121311.4553
7834,STANDARD,DENVILLE,NJ,PRIMARY,40.89,-74.48,NA-US-NJ-DENVILLE,FALSE,9072,16065,677899475,74724.36894
7801,STANDARD,DOVER,NJ,PRIMARY,40.88,-74.55,NA-US-NJ-DOVER,FALSE,11952,20418,433860674,36300.2572
7802,PO BOX,DOVER,NJ,PRIMARY,40.88,-74.55,NA-US-NJ-DOVER,FALSE,661,1060,18097850,27379.50076
7803,STANDARD,MINE HILL,NJ,PRIMARY,40.87,-74.6,NA-US-NJ-MINE HILL,FALSE,1863,3197,91725425,49235.3328
7869,STANDARD,RANDOLPH,NJ,PRIMARY,40.84,-74.58,NA-US-NJ-RANDOLPH,FALSE,12184,23006,1099727672,90259.98621
7628,STANDARD,DUMONT,NJ,PRIMARY,40.94,-73.99,NA-US-NJ-DUMONT,FALSE,8610,15212,451213099,52405.70256
8812,STANDARD,DUNELLEN,NJ,PRIMARY,40.58,-74.46,NA-US-NJ-DUNELLEN,FALSE,6779,12136,419663228,61906.362
8816,STANDARD,EAST BRUNSWICK,NJ,PRIMARY,40.42,-74.41,NA-US-NJ-EAST BRUNSWICK,FALSE,23144,42868,1590247030,68710.9847
7936,STANDARD,EAST HANOVER,NJ,PRIMARY,40.81,-74.36,NA-US-NJ-EAST HANOVER,FALSE,6011,10659,437034066,72705.71719
7017,STANDARD,EAST ORANGE,NJ,PRIMARY,40.76,-74.21,NA-US-NJ-EAST ORANGE,FALSE,15586,25182,473684147,30391.64295
7018,STANDARD,EAST ORANGE,NJ,PRIMARY,40.76,-74.21,NA-US-NJ-EAST ORANGE,FALSE,11991,19385,345462342,28810.1361
7019,PO BOX,EAST ORANGE,NJ,PRIMARY,40.76,-74.21,NA-US-NJ-EAST ORANGE,FALSE,687,1090,22412271,32623.39301
7020,STANDARD,EDGEWATER,NJ,PRIMARY,40.82,-73.97,NA-US-NJ-EDGEWATER,FALSE,5534,8894,450945749,81486.40206
8817,STANDARD,EDISON,NJ,PRIMARY,40.52,-74.36,NA-US-NJ-EDISON,FALSE,22242,39684,1166083351,52427.09068
8818,PO BOX,EDISON,NJ,PRIMARY,40.52,-74.36,NA-US-NJ-EDISON,FALSE,439,689,21899240,49884.37358
8820,STANDARD,EDISON,NJ,PRIMARY,40.52,-74.36,NA-US-NJ-EDISON,FALSE,18475,35691,1386271505,75034.9935
8837,STANDARD,EDISON,NJ,PRIMARY,40.52,-74.36,NA-US-NJ-EDISON,FALSE,7902,13761,438540676,55497.42799
7201,STANDARD,ELIZABETH,NJ,PRIMARY,40.66,-74.19,NA-US-NJ-ELIZABETH,FALSE,11498,19403,294447937,25608.62211
7202,STANDARD,ELIZABETH,NJ,PRIMARY,40.66,-74.19,NA-US-NJ-ELIZABETH,FALSE,17450,29174,492490185,28222.93324
7203,STANDARD,ROSELLE,NJ,PRIMARY,40.65,-74.26,NA-US-NJ-ROSELLE,FALSE,10530,17452,397576557,37756.55812
7204,STANDARD,ROSELLE PARK,NJ,PRIMARY,40.66,-74.26,NA-US-NJ-ROSELLE PARK,FALSE,6709,11435,307711635,45865.49933
7205,STANDARD,HILLSIDE,NJ,PRIMARY,40.69,-74.23,NA-US-NJ-HILLSIDE,FALSE,11134,18782,437063723,39254.87004
7206,STANDARD,ELIZABETHPORT,NJ,PRIMARY,40.66,-74.19,NA-US-NJ-ELIZABETHPORT,FALSE,11065,18980,267185024,24146.86164
7207,PO BOX,ELIZABETH,NJ,PRIMARY,40.66,-74.19,NA-US-NJ-ELIZABETH,FALSE,1346,2167,37536605,27887.52229
7208,STANDARD,ELIZABETH,NJ,PRIMARY,40.66,-74.19,NA-US-NJ-ELIZABETH,FALSE,14464,24374,491340888,33969.91759
7407,STANDARD,ELMWOOD PARK,NJ,PRIMARY,40.9,-74.11,NA-US-NJ-ELMWOOD PARK,FALSE,9934,17030,405823236,40851.94645
7630,STANDARD,EMERSON,NJ,PRIMARY,40.97,-74.02,NA-US-NJ-EMERSON,FALSE,3452,6374,246085304,71287.74739
7631,STANDARD,ENGLEWOOD,NJ,PRIMARY,40.89,-73.97,NA-US-NJ-ENGLEWOOD,FALSE,13307,21826,855231575,64269.29999
7632,STANDARD,ENGLEWOOD CLIFFS,NJ,PRIMARY,40.88,-73.94,NA-US-NJ-ENGLEWOOD CLIFFS,FALSE,2824,5088,282512449,100039.8191
7021,STANDARD,ESSEX FELLS,NJ,PRIMARY,40.82,-74.28,NA-US-NJ-ESSEX FELLS,FALSE,1091,2007,166956457,153030.6664
7410,STANDARD,FAIR LAWN,NJ,PRIMARY,40.93,-74.11,NA-US-NJ-FAIR LAWN,FALSE,16244,29095,964927883,59402.1105
7022,STANDARD,FAIRVIEW,NJ,PRIMARY,40.81,-74,NA-US-NJ-FAIRVIEW,FALSE,5669,9349,171949822,30331.59675
7023,STANDARD,FANWOOD,NJ,PRIMARY,40.64,-74.38,NA-US-NJ-FANWOOD,FALSE,3467,6663,268558594,77461.37698
7931,STANDARD,FAR HILLS,NJ,PRIMARY,40.69,-74.62,NA-US-NJ-FAR HILLS,FALSE,1696,3060,431150370,254216.02
8821,PO BOX,FLAGTOWN,NJ,PRIMARY,40.51,-74.67,NA-US-NJ-FLAGTOWN,FALSE,258,452,13601131,52717.56202
7836,STANDARD,FLANDERS,NJ,PRIMARY,40.84,-74.7,NA-US-NJ-FLANDERS,FALSE,5629,10541,436195117,77490.69408
8822,STANDARD,FLEMINGTON,NJ,PRIMARY,40.5,-74.86,NA-US-NJ-FLEMINGTON,FALSE,15142,27375,1166854420,77060.78589
7932,STANDARD,FLORHAM PARK,NJ,PRIMARY,40.77,-74.39,NA-US-NJ-FLORHAM PARK,FALSE,5300,9267,442023677,83400.69377
7024,STANDARD,FORT LEE,NJ,PRIMARY,40.85,-73.97,NA-US-NJ-FORT LEE,FALSE,18160,29968,1065595579,58678.17065
7416,STANDARD,FRANKLIN,NJ,PRIMARY,41.11,-74.58,NA-US-NJ-FRANKLIN,FALSE,2751,4804,114675130,41684.88913
7417,STANDARD,FRANKLIN LAKES,NJ,PRIMARY,41,-74.2,NA-US-NJ-FRANKLIN LAKES,FALSE,5458,9986,817884027,149850.4996
8823,STANDARD,FRANKLIN PARK,NJ,PRIMARY,40.44,-74.54,NA-US-NJ-FRANKLIN PARK,FALSE,4706,8014,327612479,69615.91139
8825,STANDARD,FRENCHTOWN,NJ,PRIMARY,40.52,-75.05,NA-US-NJ-FRENCHTOWN,FALSE,2160,3829,127040336,58814.97037
7026,STANDARD,GARFIELD,NJ,PRIMARY,40.87,-74.1,NA-US-NJ-GARFIELD,FALSE,14909,25066,471714543,31639.583
7027,STANDARD,GARWOOD,NJ,PRIMARY,40.65,-74.32,NA-US-NJ-GARWOOD,FALSE,2239,3694,114849925,51295.18758
7933,STANDARD,GILLETTE,NJ,PRIMARY,40.7,-74.47,NA-US-NJ-GILLETTE,FALSE,1631,2952,124364041,76250.17842
7934,STANDARD,GLADSTONE,NJ,PRIMARY,40.72,-74.67,NA-US-NJ-GLADSTONE,FALSE,747,1371,99045147,132590.5582
8826,STANDARD,GLEN GARDNER,NJ,PRIMARY,40.69,-74.94,NA-US-NJ-GLEN GARDNER,FALSE,2730,4916,182877329,66988.0326
7028,STANDARD,GLEN RIDGE,NJ,PRIMARY,40.8,-74.2,NA-US-NJ-GLEN RIDGE,FALSE,3519,6868,457990826,130148.004
7418,STANDARD,GLENWOOD,NJ,PRIMARY,41.24,-74.48,NA-US-NJ-GLENWOOD,FALSE,1229,2288,69341118,56420.76322
7838,STANDARD,GREAT MEADOWS,NJ,PRIMARY,40.84,-74.94,NA-US-NJ-GREAT MEADOWS,FALSE,1716,3106,91593182,53375.98019
7935,STANDARD,GREEN VILLAGE,NJ,PRIMARY,40.74,-74.45,NA-US-NJ-GREEN VILLAGE,FALSE,311,529,29309775,94243.64952
7601,STANDARD,HACKENSACK,NJ,PRIMARY,40.88,-74.04,NA-US-NJ-HACKENSACK,FALSE,21987,34232,929491296,42274.5848
7603,STANDARD,BOGOTA,NJ,PRIMARY,40.87,-74.02,NA-US-NJ-BOGOTA,FALSE,3974,6889,189375856,47653.71314
7604,STANDARD,HASBROUCK HEIGHTS,NJ,PRIMARY,40.86,-74.07,NA-US-NJ-HASBROUCK HEIGHTS,FALSE,5912,10360,335151999,56690.12162
7605,STANDARD,LEONIA,NJ,PRIMARY,40.86,-73.99,NA-US-NJ-LEONIA,FALSE,4156,7589,259754085,62500.98292
7606,STANDARD,SOUTH HACKENSACK,NJ,PRIMARY,40.86,-74.04,NA-US-NJ-SOUTH HACKENSACK,FALSE,1393,2270,52012946,37338.79828
7607,STANDARD,MAYWOOD,NJ,PRIMARY,40.9,-74.06,NA-US-NJ-MAYWOOD,FALSE,4871,8372,257089864,52779.68877
7840,STANDARD,HACKETTSTOWN,NJ,PRIMARY,40.85,-74.82,NA-US-NJ-HACKETTSTOWN,FALSE,14203,24882,792287770,55783.12821
7419,STANDARD,HAMBURG,NJ,PRIMARY,41.14,-74.57,NA-US-NJ-HAMBURG,FALSE,4479,7852,238765293,53307.72338
8827,STANDARD,HAMPTON,NJ,PRIMARY,40.7,-74.96,NA-US-NJ-HAMPTON,FALSE,2226,4096,151803511,68195.64735
7640,STANDARD,HARRINGTON PARK,NJ,PRIMARY,40.98,-73.98,NA-US-NJ-HARRINGTON PARK,FALSE,2279,4361,194366466,85285.85608
7029,STANDARD,HARRISON,NJ,PRIMARY,40.74,-74.15,NA-US-NJ-HARRISON,FALSE,8197,13420,279950946,34152.85421
7420,STANDARD,HASKELL,NJ,PRIMARY,41.02,-74.3,NA-US-NJ-HASKELL,FALSE,2294,4023,115046084,50150.86486
7641,STANDARD,HAWORTH,NJ,PRIMARY,40.96,-73.99,NA-US-NJ-HAWORTH,FALSE,1634,3115,154887321,94790.28213
8828,STANDARD,HELMETTA,NJ,PRIMARY,40.37,-74.42,NA-US-NJ-HELMETTA,FALSE,1136,1927,60455524,53217.89085
7421,STANDARD,HEWITT,NJ,PRIMARY,41.16,-74.35,NA-US-NJ-HEWITT,FALSE,3700,6615,206270576,55748.80432
8829,STANDARD,HIGH BRIDGE,NJ,PRIMARY,40.66,-74.89,NA-US-NJ-HIGH BRIDGE,FALSE,1857,3328,115616477,62259.81529
7422,STANDARD,HIGHLAND LAKES,NJ,PRIMARY,41.17,-74.44,NA-US-NJ-HIGHLAND LAKES,FALSE,3400,6178,176677790,51964.05588
8844,STANDARD,HILLSBOROUGH,NJ,PRIMARY,40.47,-74.62,NA-US-NJ-HILLSBOROUGH,FALSE,18663,34693,1442247439,77278.43535
7642,STANDARD,HILLSDALE,NJ,PRIMARY,41,-74.04,NA-US-NJ-HILLSDALE,FALSE,4918,9206,361975476,73602.1708
7676,STANDARD,TOWNSHIP OF WASHINGTON,NJ,PRIMARY,40.98,-74.06,NA-US-NJ-TOWNSHIP OF WASHINGTON,FALSE,4548,8290,314264838,69099.5686
7030,STANDARD,HOBOKEN,NJ,PRIMARY,40.74,-74.02,NA-US-NJ-HOBOKEN,FALSE,27148,37267,,0
7423,STANDARD,HO HO KUS,NJ,PRIMARY,40.99,-74.09,NA-US-NJ-HO HO KUS,FALSE,1955,3722,251960381,128879.9903
7843,STANDARD,HOPATCONG,NJ,PRIMARY,40.95,-74.65,NA-US-NJ-HOPATCONG,FALSE,6048,10538,307917532,50912.29034
7844,PO BOX,HOPE,NJ,PRIMARY,40.91,-74.96,NA-US-NJ-HOPE,FALSE,357,603,15088356,42264.30252
8830,STANDARD,ISELIN,NJ,PRIMARY,40.57,-74.31,NA-US-NJ-ISELIN,FALSE,9728,17210,477192920,49053.54852
8831,STANDARD,MONROE TOWNSHIP,NJ,PRIMARY,40.34,-74.44,NA-US-NJ-MONROE TOWNSHIP,FALSE,23277,41128,1196368976,51397.04326
7302,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,19464,28393,1642523522,84387.76829
7303,PO BOX,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,1115,1707,37296479,33449.75695
7304,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,18986,31180,608970277,32074.7012
7305,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,28006,46569,1134626659,40513.69917
7306,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,24318,39173,847813290,34863.61091
7307,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,20799,34041,746069031,35870.42795
7310,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,6606,9640,712573698,107867.6503
7311,STANDARD,JERSEY CITY,NJ,PRIMARY,40.71,-74.06,NA-US-NJ-JERSEY CITY,FALSE,292,430,48309410,165443.1849
7031,STANDARD,NORTH ARLINGTON,NJ,PRIMARY,40.79,-74.12,NA-US-NJ-NORTH ARLINGTON,FALSE,8332,13771,378165230,45387.08953
7032,STANDARD,KEARNY,NJ,PRIMARY,40.75,-74.11,NA-US-NJ-KEARNY,FALSE,18288,31241,689058725,37678.18925
8832,STANDARD,KEASBEY,NJ,PRIMARY,40.51,-74.31,NA-US-NJ-KEASBEY,FALSE,1451,2437,47967183,33058.01723
8824,STANDARD,KENDALL PARK,NJ,PRIMARY,40.41,-74.56,NA-US-NJ-KENDALL PARK,FALSE,6006,11637,422044558,70270.48918
7033,STANDARD,KENILWORTH,NJ,PRIMARY,40.67,-74.28,NA-US-NJ-KENILWORTH,FALSE,4034,7022,190024935,47105.83416
7847,STANDARD,KENVIL,NJ,PRIMARY,40.88,-74.62,NA-US-NJ-KENVIL,FALSE,895,1520,39463681,44093.49832
7848,STANDARD,LAFAYETTE,NJ,PRIMARY,41.09,-74.68,NA-US-NJ-LAFAYETTE,FALSE,2182,3917,130159500,59651.46654
7034,STANDARD,LAKE HIAWATHA,NJ,PRIMARY,40.88,-74.38,NA-US-NJ-LAKE HIAWATHA,FALSE,4809,8365,242196274,50363.12622
7849,STANDARD,LAKE HOPATCONG,NJ,PRIMARY,40.96,-74.61,NA-US-NJ-LAKE HOPATCONG,FALSE,4365,7845,268344944,61476.50493
7850,STANDARD,LANDING,NJ,PRIMARY,40.9,-74.66,NA-US-NJ-LANDING,FALSE,3320,5877,170666819,51405.66837
8833,STANDARD,LEBANON,NJ,PRIMARY,40.64,-74.83,NA-US-NJ-LEBANON,FALSE,4385,8101,413930965,94397.02737
7852,STANDARD,LEDGEWOOD,NJ,PRIMARY,40.88,-74.66,NA-US-NJ-LEDGEWOOD,FALSE,1812,3257,125739111,69392.44536
7035,STANDARD,LINCOLN PARK,NJ,PRIMARY,40.92,-74.3,NA-US-NJ-LINCOLN PARK,FALSE,5502,9191,313609491,56999.18048
7036,STANDARD,LINDEN,NJ,PRIMARY,40.62,-74.23,NA-US-NJ-LINDEN,FALSE,21081,35142,768422277,36450.94052
7424,STANDARD,LITTLE FALLS,NJ,PRIMARY,40.87,-74.21,NA-US-NJ-LITTLE FALLS,FALSE,12172,20128,585762325,48123.75329
7643,STANDARD,LITTLE FERRY,NJ,PRIMARY,40.84,-74.03,NA-US-NJ-LITTLE FERRY,FALSE,5292,8899,217542665,41107.83541
7039,STANDARD,LIVINGSTON,NJ,PRIMARY,40.78,-74.32,NA-US-NJ-LIVINGSTON,FALSE,14374,27160,1480685726,103011.3904
7644,STANDARD,LODI,NJ,PRIMARY,40.87,-74.08,NA-US-NJ-LODI,FALSE,12054,19903,446614004,37051.1037
7853,STANDARD,LONG VALLEY,NJ,PRIMARY,40.78,-74.76,NA-US-NJ-LONG VALLEY,FALSE,6049,11904,576585468,95319.13837
7428,PO BOX,MC AFEE,NJ,PRIMARY,41.2,-74.55,NA-US-NJ-MC AFEE,FALSE,339,514,11624578,34290.79056
7940,STANDARD,MADISON,NJ,PRIMARY,40.75,-74.41,NA-US-NJ-MADISON,FALSE,7206,12693,833595239,115680.7159
7430,STANDARD,MAHWAH,NJ,PRIMARY,41.08,-74.18,NA-US-NJ-MAHWAH,FALSE,12525,21442,1063059138,84874.98108
8835,STANDARD,MANVILLE,NJ,PRIMARY,40.54,-74.58,NA-US-NJ-MANVILLE,FALSE,5399,8927,199541980,36959.06279
7040,STANDARD,MAPLEWOOD,NJ,PRIMARY,40.73,-74.27,NA-US-NJ-MAPLEWOOD,FALSE,11603,20973,985456302,84931.16453
8836,STANDARD,MARTINSVILLE,NJ,PRIMARY,40.6,-74.56,NA-US-NJ-MARTINSVILLE,FALSE,1995,3670,191839706,96160.25363
7945,STANDARD,MENDHAM,NJ,PRIMARY,40.76,-74.59,NA-US-NJ-MENDHAM,FALSE,4810,9193,838222839,174266.7025
8840,STANDARD,METUCHEN,NJ,PRIMARY,40.54,-74.36,NA-US-NJ-METUCHEN,FALSE,8479,15163,598124729,70541.89515
8846,STANDARD,MIDDLESEX,NJ,PRIMARY,40.57,-74.5,NA-US-NJ-MIDDLESEX,FALSE,6987,12094,332234985,47550.44869
7432,STANDARD,MIDLAND PARK,NJ,PRIMARY,40.99,-74.14,NA-US-NJ-MIDLAND PARK,FALSE,3503,6264,215809177,61606.95889
8848,STANDARD,MILFORD,NJ,PRIMARY,40.56,-75.09,NA-US-NJ-MILFORD,FALSE,4036,7470,261146410,64704.26412
7041,STANDARD,MILLBURN,NJ,PRIMARY,40.74,-74.32,NA-US-NJ-MILLBURN,FALSE,3382,6225,303479694,89733.7948
7946,STANDARD,MILLINGTON,NJ,PRIMARY,40.66,-74.51,NA-US-NJ-MILLINGTON,FALSE,1554,2970,153371931,98694.93629
8850,STANDARD,MILLTOWN,NJ,PRIMARY,40.45,-74.43,NA-US-NJ-MILLTOWN,FALSE,4361,7643,240810602,55219.12451
8852,STANDARD,MONMOUTH JUNCTION,NJ,PRIMARY,40.38,-74.54,NA-US-NJ-MONMOUTH JUNCTION,FALSE,7727,14675,573093306,74167.63375
7042,STANDARD,MONTCLAIR,NJ,PRIMARY,40.82,-74.21,NA-US-NJ-MONTCLAIR,FALSE,12998,21177,1123849449,86463.25966
7043,STANDARD,MONTCLAIR,NJ,PRIMARY,40.82,-74.21,NA-US-NJ-MONTCLAIR,FALSE,5845,10966,773322253,132304.9192
7044,STANDARD,VERONA,NJ,PRIMARY,40.83,-74.24,NA-US-NJ-VERONA,FALSE,6806,11979,481751740,70783.38819
7645,STANDARD,MONTVALE,NJ,PRIMARY,41.05,-74.04,NA-US-NJ-MONTVALE,FALSE,3893,7226,359404336,92320.6617
7045,STANDARD,MONTVILLE,NJ,PRIMARY,40.9,-74.36,NA-US-NJ-MONTVILLE,FALSE,5222,9442,451726247,86504.45174
7950,STANDARD,MORRIS PLAINS,NJ,PRIMARY,40.83,-74.48,NA-US-NJ-MORRIS PLAINS,FALSE,9808,17593,764170859,77913.0158
7960,STANDARD,MORRISTOWN,NJ,PRIMARY,40.79,-74.47,NA-US-NJ-MORRISTOWN,FALSE,20272,33647,1862771371,91888.87978
7046,STANDARD,MOUNTAIN LAKES,NJ,PRIMARY,40.89,-74.44,NA-US-NJ-MOUNTAIN LAKES,FALSE,1947,3888,368170468,189096.2856
